blocklevel;cycle;balance;full_balance;current_frozen_deposits;frozen_deposits;staking_balance;delegated_balance;attestation_power;unstaked_frozen_deposits;balance_updates
6655;51;63142577650;70158419392;7015841742;7010036694;70158419392;0;63;[ { "cycle": 46, "deposit": "0" }, { "cycle": 47, "deposit": "0" }, { "cycle": 48, "deposit": "0" }, { "cycle": 49, "deposit": "0" }, { "cycle": 50, "deposit": "0" }, { "cycle": 51, "deposit": "0" } ];
6656;51;63147087937;70163431042;7016343105;7010036694;70163431042;0;65;[ { "cycle": 46, "deposit": "0" }, { "cycle": 47, "deposit": "0" }, { "cycle": 48, "deposit": "0" }, { "cycle": 49, "deposit": "0" }, { "cycle": 50, "deposit": "0" }, { "cycle": 51, "deposit": "0" } ];{ "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "501165", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "4510485", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "-198", "origin": "block" } { "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "198", "origin": "block" }
6657;52;63147087937;70163431042;7016343105;7010554310;70163431042;0;50;[ { "cycle": 47, "deposit": "0" }, { "cycle": 48, "deposit": "0" }, { "cycle": 49, "deposit": "0" }, { "cycle": 50, "deposit": "0" }, { "cycle": 51, "deposit": "0" }, { "cycle": 52, "deposit": "0" } ];
6783;52;63155491295;70172767670;7017276375;7010554310;570172767234;499999999564;61;[ { "cycle": 47, "deposit": "0" }, { "cycle": 48, "deposit": "0" }, { "cycle": 49, "deposit": "0" }, { "cycle": 50, "deposit": "0" }, { "cycle": 51, "deposit": "0" }, { "cycle": 52, "deposit": "0" } ];
6784;52;13160001431;70177779320;57017777889;7010554310;570177778884;499999999564;61;[ { "cycle": 47, "deposit": "0" }, { "cycle": 48, "deposit": "0" }, { "cycle": 49, "deposit": "0" }, { "cycle": 50, "deposit": "0" }, { "cycle": 51, "deposit": "0" }, { "cycle": 52, "deposit": "0" } ];{ "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "501166", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "4510484", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "-50000000348", "origin": "block" } { "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "50000000348", "origin": "block" }
6785;53;13160001431;70177779320;57017777889;7013405687;570177778884;499999999564;66;[ { "cycle": 48, "deposit": "0" }, { "cycle": 49, "deposit": "0" }, { "cycle": 50, "deposit": "0" }, { "cycle": 51, "deposit": "0" }, { "cycle": 52, "deposit": "0" }, { "cycle": 53, "deposit": "0" } ];
6911;53;13160001431;70177779320;57017777889;7013405687;570177778884;499999999564;59;[ { "cycle": 48, "deposit": "0" }, { "cycle": 49, "deposit": "0" }, { "cycle": 50, "deposit": "0" }, { "cycle": 51, "deposit": "0" }, { "cycle": 52, "deposit": "0" }, { "cycle": 53, "deposit": "0" } ];
6912;53;13164513114;70182792302;57018279187;7013405687;570182791866;499999999564;62;[ { "cycle": 48, "deposit": "0" }, { "cycle": 49, "deposit": "0" }, { "cycle": 50, "deposit": "0" }, { "cycle": 51, "deposit": "0" }, { "cycle": 52, "deposit": "0" }, { "cycle": 53, "deposit": "0" } ];{ "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "501299", "origin": "block" } { "kind": "contract", "contract": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN", "change": "4511683", "origin": "block" } { "kind": "freezer", "category": "deposits", "staker": { "baker": "tz1SpCandJN3VJWPZjYB99aMTFaMYPh8QTJN" }, "change": "-1", "origin": "block" }
6913;54;13164513114;70182792302;57018279187;7014857229;570182791866;499999999564;50;[ { "cycle": 49, "deposit": "0" }, { "cycle": 50, "deposit": "0" }, { "cycle": 51, "deposit": "0" }, { "cycle": 52, "deposit": "0" }, { "cycle": 53, "deposit": "0" }, { "cycle": 54, "deposit": "1" } ];
7039;54;13175958054;70195508244;57019550189;7014857229;570195507808;499999999564;60;[ { "cycle": 49, "deposit": "0" }, { "cycle": 50, "deposit": "0" }, { "cycle": 51, "deposit": "0" }, { "cycle": 52, "deposit": "0" }, { "cycle": 53, "deposit": "0" }, { "cycle": 54, "deposit": "1" } ];
